id,Title,Journal,Year,Abstract,Keywords,Recommend
1,ISP: An Optimal Out-of-Core Image-Set Processing Streaming Architecture for Parallel Heterogeneous Systems,"Visualization and Computer Graphics, IEEE Transactions on",2012,"Image population analysis is the class of statistical methods that plays a central role in understanding the development, evolution, and disease of a population. However, these techniques often require excessive computational power and memory that are compounded with a large number of volumetric inputs. Restricted access to supercomputing power limits its influence in general research and practical applications. In this paper we introduce ISP, an Image-Set Processing streaming framework that harnesses the processing power of commodity heterogeneous CPU/GPU systems and attempts to solve this computational problem. In ISP, we introduce specially designed streaming algorithms and data structures that provide an optimal solution for out-of-core multiimage processing problems both in terms of memory usage and computational efficiency. ISP makes use of the asynchronous execution mechanism supported by parallel heterogeneous systems to efficiently hide the inherent latency of the processing pipeline of out-of-core approaches. Consequently, with computationally intensive problems, the ISP out-of-core solution can achieve the same performance as the in-core solution. We demonstrate the efficiency of the ISP framework on synthetic and real datasets.","graphics processing units;image processing;parallel processing;pipeline processing;statistical analysis;CPU-GPU systems;ISP framework;asynchronous execution mechanism;computational efficiency;data structures;image population analysis;memory usage;optimal out-of-core image-set processing streaming architecture;out-of-core approach pipeline processing;parallel heterogeneous systems;statistical methods;streaming algorithms;supercomputing power;Computational modeling;Data models;Graphics processing unit;Hardware;MIMO;Parallel processing;Streaming media;GPUs;atlas construction;diffeomorphism;multiimage processing framework.;out-of-core processing;Algorithms;Brain;Computer Graphics;Databases, Factual;Diagnostic Imaging;Humans;Image Processing, Computer-Assisted;Models, Theoretical;Regression Analysis",1
2,High performance computing in biomedical imaging research ,Parallel Computing ,1998,"The Mayo Biomedical Imaging Resource (BIR) conducts research into and development of image analysis, visualization, and measurement capabilities and software tools for biomedical imaging applications. The design goal for these tools includes full interactivity, yet some tools are both compute bound and time sensitive. Therefore, effective use of these capabilities requires that they be executed on high performance computers. This paper provides an overview of the high performance computing activities in the BIR, including resources, algorithms and applications.",Biomedical imaging,1
3,\CUDA\ optimization strategies for compute- and memory-bound neuroimaging algorithms ,Computer Methods and Programs in Biomedicine ,2012,"As neuroimaging algorithms and technology continue to grow faster than CPU performance in complexity and image resolution, data-parallel computing methods will be increasingly important. The high performance, data-parallel architecture of modern graphical processing units (GPUs) can reduce computational times by orders of magnitude. However, its mas- sively threaded architecture introduces challenges when GPU resources are exceeded. This paper presents optimization strategies for compute- and memory-bound algorithms for the CUDA architecture. For compute-bound algorithms, the registers are reduced through variable reuse via shared memory and the data throughput is increased through heavier thread workloads and maximizing the thread conﬁguration for a single thread block per multiprocessor. For memory-bound algorithms, ﬁtting the data into the fast but limited GPU resources is achieved through reorganizing the data into self-contained structures and employing a multi-pass approach. Memory latencies are reduced by selecting mem- ory resources whose cache performance are optimized for the algorithm’s access patterns. We demonstrate the strategies on two computationally expensive algorithms and achieve optimized GPU implementations that perform up to 6x faster than unoptimized ones. Compared to CPU implementations, we achieve peak GPU speedups of 129x for the 3D unbiased nonlinear image registration technique and 93× for the non-local means surface denoising algorithm.",Graphics Processing Unit (GPU),1
4,Power-Efficient Medical Image Processing using PUMA,,2009,"Graphics processing units (GPUs) are becoming an increasingly popular platform to run applications that require a high computation throughput. They are limited, however, by memory bandwidth and power and, as such, cannot always achieve their full potential. This paper presents the PUMA architecture - a domain-speciﬁc accelerator designed speciﬁcally for medical imaging applications, but with sufﬁcient generality to make it programmable. The goal is to closely match the performance achieved by GPUs in this domain but at a fraction of the power consumption. The results are quite promising - PUMA achieves upto 2X the performance of a modern GPU architecture and has upto a 54X improved efﬁciency on a ﬂoating-point and memory-intensive MRI reconstruction algorithm.",coprocessors;magnetic resonance imaging;medical image processing;parallel architectures;MRI reconstruction algorithm;domain specific accelerator;graphics processing units;magnetic resonance imaging;medical image processing;parallel micro architecture for medical applications;Acceleration;Bandwidth;Biomedical image processing;Computer architecture;Energy consumption;Graphics;Hardware;Image analysis;Parallel processing;Registers,1
5,Accelerating 3D Medical Image Segmentation with High Performance Computing,,2008,Digital processing of medical images has helped physicians and patients during past years by allowing examination and diagnosis on a very precise level. Nowadays possibly the biggest deal of support it can offer for modern healthcare is the use of High Performance Computing architectures to treat the huge amounts of data that can be collected by modern acquisition devices. This paper presents a parallel processing implementation of an image segmentation algorithm that operates on a computer cluster equipped with 10 processing units. Thanks to well-organized distribution of the workload we manage to significantly shorten the execution time of the developed algorithm and reach a performance gain very close to linear.,,1
6,High Performance Computing (HPC) in Medical Image Analysis (MIA) at the Surgical Planning Laboratory (SPL),,1998,"This paper outlines some of the usage and applications for HPC in the medical image analysis field. As opposed to traditional HPC work that focuses on developing new optimization strategies and improving the implementation of existing environments, the work reported here is focussing strongly on the utilization of HPC technology (both commercial and public domain) in an application driven clinical and research environment. Work performed at the Surgical Planning Laboratory (SPL) of Brigham and Women's Hospital and Harvard Medical School in Boston is used as an example of this type of activity.",,1
7,Image Segmentation on GPGPUs: A Cellular Automata-based Approach,,2013,"Image segmentation is one of the most difficult tasks in image processing and plays a critical role in the analysis of medical images used for diagnosis and treatment. With the decreased hardware costs and improvements in computing power of many-core architectures, there is an opportunity to both improve upon image segmentation algorithms and to make this technology more accessible. This paper describes our on-going research efforts to implement efficient image segmentation algorithms on graphical processing units (GPUs). A focused case study was performed with a suitable algorithm based on Cellular Automata, a parallel computational technique. Preliminary segmentation results are shown to validate our approach. Plans to improve the algorithm by making it more robust to noise and more efficient on GPU architectures are discussed. Our use of graph theoretic techniques and their implementation on GPUs will have broad application to other areas requiring computationally intensive calculations, as found in many problems involving modeling and simulation.","GPUs, OpenCL, cellular automata, fuzzy connectedness, image segmentation",1
8,High-performance medical image registration using new optimization techniques,"Information Technology in Biomedicine, IEEE Transactions on",2006,"Optimization of a similarity metric is an essential component in intensity-based medical image registration. The increasing availability of parallel computers makes parallelizing some registration tasks an attractive option to increase speed. In this paper, two new deterministic, derivative-free, and intrinsically parallel optimization methods are adapted for image registration. DIviding RECTangles (DIRECT) is a global technique for linearly bounded problems, and multidirectional search (MDS) is a recent local method. The performance of DIRECT, MDS, and hybrid methods using a parallel implementation of Powell's method for local refinement, are compared. Experimental results demonstrate that DIRECT and MDS are robust, accurate, and substantially reduce computation time in parallel implementations",image registration;medical image processing;optimisation;DIRECT;MDS;Powell's direction set method;dividing rectangle technique;high-performance medical image registration;linearly bounded problem;multidirectional search;optimization;parallel computing;Biomedical imaging;Concurrent computing;Convergence;Image registration;Interpolation;Memory architecture;Optimization methods;Parallel processing;Robustness;Technological innovation;DIviding RECTangles (DIRECT);medical image registration;multidirectional search (MDS);optimization;parallel computing,1
9,Large-Scale Biomedical Image Analysis in Grid Environments,"Information Technology in Biomedicine, IEEE Transactions on",2008,"This paper presents the application of a component-based Grid middleware system for processing extremely large images obtained from digital microscopy devices. We have developed parallel, out-of-core techniques for different classes of data processing operations employed on images from confocal microscopy scanners. These techniques are combined into a data preprocessing and analysis pipeline using the component-based middleware system. The experimental results show that: 1) our implementation achieves good performance and can handle very large datasets on high-performance Grid nodes, consisting of computation and/or storage clusters and 2) it can take advantage of Grid nodes connected over high-bandwidth wide-area networks by combining task and data parallelism.","biomedical optical imaging;grid computing;medical image processing;middleware;optical microscopy;Grid-node;biomedical image analysis;component-based Grid middleware system;confocal microscopy scanner;data preprocessing;digital microscopy;image processing;parallel computation;wide-area network;Digital microscopy;digital microscopy;image processing;out of core;out-of- core;parallel computation;Database Management Systems;Image Interpretation, Computer-Assisted;Information Dissemination;Information Storage and Retrieval;Internet;Microscopy;Radiology Information Systems;Signal Processing, Computer-Assisted",1
10,GPU implementation of map-MRF for microscopy imagery segmentation,,2009,"Recent developments in 3D low-light level CCD (L3CCD) image capture have enabled the study of the dynamics of biomedical bodies within cells. This paper firstly presents an improved algorithm for automatic segmentation of such imagery. It allows for the specific nature of noise in L3CCD data. Secondly, the massive volume of data produced by continuous real time 3D scans requires a high performance computation facility for automatic segmentation and tracking. The paper presents details and results of a GPU implementation of a version of the segmentation algorithm, and shows that on an NVIDIA GeForce 8800GTX, coded in CUDA C, the algorithm runs around 550 times faster than the Matlab version of the algorithm running on a PC.",CCD image sensors;biomedical optical imaging;cellular biophysics;computer graphics;image segmentation;medical image processing;optical microscopy;3D low-light level CCD;CUD C;NVIDIA GeForce 8800GTX;automatic segmentation;automatic tracking;biomedical bodies;cells;image capture;microscopy;Biomedical computing;Biomedical image processing;Charge coupled devices;Electron microscopy;Gaussian distribution;High performance computing;Image segmentation;Information technology;Layout;Statistical distributions;Image segmentation;accelerators,1
