"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","segment","data","parallel","model","algorithm","imag","comput","imag","model","imag"
"2","imag","grid","comput","imag","imag","medic","applic","registr","simul","algorithm"
"3","data","servic","algorithm","result","model","inform","parallel","algorithm","network","perform"
"4","visual","imag","imag","segment","propos","applic","data","perform","comput","filter"
"5","algorithm","medic","perform","algorithm","comput","comput","grid","deform","result","analysi"
"6","render","manag","reconstruct","reconstruct","optim","process","algorithm","propos","neural","applic"
"7","volum","applic","implement","detect","segment","clinic","perform","data","flow","process"
"8","model","integr","process","propos","result","research","process","implement","imag","robust"
"9","mri","process","time","surfac","time","will","optim","result","propos","architectur"
"10","comput","user","data","data","perform","system","mesh","local","segment","transform"
