"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"halfmaximum",6.03722865906551e-264,1.24231292751172e-264,1.47851335449614e-266,2.91695903134167e-263,3.76753715054449e-265,3.84149298320422e-264,2.77935481373618e-265,3.23500812269653e-263,2.59722871478687e-259,7.44350157107527e-257
"rootmeansquar",8.61764313961966e-264,1.44078154354942e-264,1.88392534328158e-266,4.01298471082634e-263,2.44837862868844e-264,1.05414608093291e-263,1.06880735677725e-264,4.65814942704391e-263,3.59232286223571e-259,1.68838827455674e-256
"fullwidth",1.6591284168678e-263,1.92324586014598e-264,3.01381064908101e-266,7.98162937510248e-263,3.02763919567621e-264,2.50708520691391e-263,1.52019254309474e-264,9.44022427589217e-263,3.79906991153531e-259,8.53426542997131e-256
"cystic",1.90108889525616e-263,2.92368440076529e-264,3.05533396782858e-266,1.27894519412336e-262,3.67480879945195e-264,2.71831188180712e-263,1.58758913141459e-264,1.01795705151635e-262,3.8162181909808e-259,9.47122439560011e-256
"cyst",2.02682127537305e-263,4.52643896429324e-264,3.1230886312168e-266,2.08065659368846e-262,3.82447141019119e-264,2.94438124047397e-263,1.63692870025626e-264,1.2389551585515e-262,3.81957181855563e-259,1.15641376826187e-255
"dffir",2.03147514768063e-263,5.5767732399988e-264,4.84994285228111e-266,2.09535060211496e-262,4.2094248689773e-264,3.3012412825546e-263,1.92688956432797e-264,1.81370717485791e-262,4.66684884585246e-259,1.30112688761642e-255
"delayandsum",2.13701169615346e-263,6.14174719380262e-264,6.56900060701555e-266,2.77068791225508e-262,4.52110206127214e-264,3.75568580695189e-263,1.9796215000749e-264,2.15698050748988e-262,4.83315539187829e-259,1.31210606963336e-255
"clutter",2.26973680318822e-263,1.35411319316137e-263,8.91338175995605e-266,2.98339831632539e-262,4.7507996464443e-264,4.39306914170835e-263,2.2105954711818e-264,3.89344872059734e-262,5.58980449707656e-259,2.40951920139348e-255
"sidelob",3.00728096268834e-263,1.44256089225616e-263,1.06763710216836e-265,3.04795417286557e-262,5.31856515912668e-264,5.18143319137448e-263,2.87802746522704e-264,4.93741372238345e-262,6.45709091569058e-259,2.57618328119814e-255
"silico",3.39542761099228e-263,2.12951961990461e-263,1.62385837439449e-265,3.07085815379861e-262,6.01535938830257e-264,6.66026751543209e-263,3.64623513050639e-264,5.69014875131831e-262,8.98445628763217e-259,3.47137192562685e-255
