"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",7,3,1,10,6,8,9,5,4,2
"2",10,2,3,4,5,7,8,9,1,6
"3",3,5,4,9,2,6,1,8,10,7
"4",10,3,2,6,9,7,1,8,4,5
"5",6,3,7,10,5,9,4,2,8,1
"6",7,6,2,3,5,1,4,10,8,9
"7",6,10,3,7,2,4,5,9,8,1
"8",6,3,1,5,10,7,2,4,9,8
"9",7,8,9,4,3,1,2,10,5,6
"10",5,2,1,7,10,8,4,9,6,3
"11",7,8,9,1,2,3,4,10,6,5
"12",2,6,7,3,5,9,1,4,10,8
"13",4,1,8,5,9,10,3,7,6,2
"14",1,8,10,2,7,3,5,6,4,9
"15",1,6,10,2,3,7,4,9,5,8
"17",10,8,6,3,1,2,4,9,7,5
"18",3,2,7,6,1,9,8,4,10,5
"19",2,6,7,5,8,1,3,10,9,4
"20",10,5,8,6,2,3,1,9,4,7
"21",2,10,1,3,9,8,4,7,5,6
"22",4,7,6,2,8,5,3,10,1,9
"23",3,2,7,9,10,5,4,6,1,8
"24",7,8,10,4,5,6,2,1,9,3
"25",8,3,7,5,1,6,9,10,2,4
"26",6,3,2,9,7,8,4,1,10,5
"29",5,6,7,9,2,8,4,1,3,10
"30",3,10,6,7,9,2,8,1,4,5
"31",2,5,8,3,9,1,6,10,4,7
"32",7,8,9,4,3,1,2,10,5,6
"33",2,7,4,8,6,3,1,10,5,9
"34",2,8,3,6,5,1,9,4,7,10
"35",5,8,1,10,9,7,4,6,3,2
"36",9,7,6,3,2,1,5,8,4,10
"37",9,3,2,10,4,8,6,7,5,1
"38",1,4,8,9,3,7,2,6,10,5
"39",9,2,8,1,4,3,5,7,10,6
"40",8,3,7,2,9,4,10,6,1,5
"41",2,6,9,4,8,10,5,3,1,7
"42",5,4,7,3,8,2,9,10,6,1
"43",2,1,10,9,6,3,4,8,5,7
"44",9,3,6,8,7,10,1,4,2,5
"45",7,5,10,6,3,9,4,2,8,1
"46",10,3,7,1,4,6,5,2,8,9
"47",9,8,6,3,5,4,7,2,10,1
"48",2,7,5,4,1,8,10,3,9,6
"49",8,3,6,1,2,7,10,4,9,5
"50",2,10,8,5,1,6,7,9,3,4
"51",1,8,7,6,2,5,9,3,4,10
"52",10,1,8,6,4,7,9,2,5,3
"53",6,8,5,10,2,9,7,4,3,1
"54",6,10,7,9,2,1,8,4,3,5
"55",6,3,9,10,8,2,5,4,7,1
"56",3,10,7,4,2,9,5,6,8,1
"57",3,9,7,8,4,2,5,6,1,10
"58",4,1,8,7,2,10,6,3,9,5
"59",9,8,1,5,4,2,7,6,10,3
"60",7,10,1,6,2,9,4,5,8,3
"61",7,6,10,1,2,3,8,5,4,9
"63",2,6,4,9,10,1,5,3,8,7
"64",3,9,4,7,8,10,1,5,2,6
"65",3,9,5,4,6,2,8,7,1,10
"66",10,6,8,1,3,4,2,9,7,5
"67",2,5,6,7,4,10,3,8,9,1
"68",9,10,3,5,1,6,2,8,7,4
"69",9,3,8,1,2,5,6,10,7,4
"70",7,4,2,6,3,8,10,5,9,1
"71",9,3,7,10,6,8,2,4,5,1
"72",9,8,1,2,7,6,3,5,4,10
"73",10,6,8,1,5,3,2,9,4,7
"74",6,3,2,1,10,5,4,7,8,9
"75",3,9,7,1,8,4,10,6,2,5
"76",7,10,4,2,6,1,5,9,8,3
"77",3,9,7,1,2,8,4,10,6,5
"78",9,1,10,8,7,5,6,2,3,4
"79",10,7,3,2,8,5,1,6,9,4
"80",4,1,10,8,7,3,6,2,9,5
"81",1,4,8,3,7,6,10,2,5,9
"82",9,1,8,10,7,6,3,2,5,4
"83",7,10,3,6,8,5,4,9,2,1
"84",9,4,10,7,8,2,3,5,1,6
"85",10,5,4,6,2,3,7,8,9,1
"86",5,7,9,4,1,8,3,6,10,2
"87",10,3,8,1,5,4,6,7,2,9
"88",6,2,9,10,1,4,8,3,7,5
"89",9,5,8,7,2,3,6,10,1,4
"90",8,5,3,7,4,1,9,2,10,6
"91",5,7,4,6,10,1,8,2,3,9
"92",2,7,3,10,1,9,5,8,4,6
"93",4,2,7,6,5,1,3,9,8,10
"94",8,1,3,10,5,4,2,6,7,9
"95",6,2,3,4,10,7,1,5,8,9
"96",9,2,10,3,1,6,7,8,4,5
"97",8,7,3,1,10,5,2,6,9,4
"99",2,10,9,1,4,6,8,5,7,3
"100",5,9,3,4,6,2,8,10,1,7
"101",5,1,9,10,3,2,6,4,8,7
"102",5,3,6,9,1,7,8,4,10,2
"103",2,10,3,9,4,7,1,6,8,5
"104",1,3,5,4,7,10,8,2,9,6
"105",5,8,2,9,6,7,1,10,4,3
"106",10,3,2,8,6,1,7,5,9,4
"107",2,5,6,9,8,7,3,10,4,1
"108",5,10,8,6,9,7,1,2,3,4
"109",6,1,9,3,7,2,4,10,8,5
"110",8,7,9,6,3,10,2,4,1,5
"111",5,9,4,6,8,2,7,3,1,10
"112",10,9,4,7,3,8,2,6,1,5
"113",4,5,1,7,6,3,2,10,8,9
"114",3,2,4,7,8,6,10,9,5,1
"115",9,8,4,7,10,1,3,6,5,2
"116",1,10,3,2,5,7,9,8,6,4
"117",9,5,1,4,6,10,8,7,2,3
"118",1,10,7,3,8,2,6,4,5,9
"119",4,8,2,1,6,5,7,3,9,10
"120",3,6,10,2,9,8,4,1,7,5
"121",7,4,9,10,2,3,6,1,8,5
"122",9,5,7,1,4,6,8,10,3,2
"123",1,2,8,6,10,9,5,3,4,7
"124",8,10,1,7,2,9,3,5,4,6
"125",4,3,6,10,5,1,9,2,8,7
"126",3,10,7,2,9,1,8,5,6,4
"128",8,4,5,9,2,6,1,10,3,7
"129",3,8,10,1,2,6,4,5,9,7
"130",5,8,1,6,2,3,7,10,4,9
"131",5,4,3,9,2,6,10,1,8,7
"132",8,10,4,6,1,5,2,3,9,7
"133",4,6,2,8,9,7,3,1,5,10
"134",7,9,5,2,6,10,4,8,1,3
"135",8,6,10,9,5,7,3,2,4,1
"136",9,2,3,1,10,5,7,8,4,6
"137",6,2,7,9,8,10,3,1,4,5
"138",9,8,4,1,5,2,3,6,10,7
"139",3,9,5,1,2,8,10,6,7,4
"140",1,7,2,4,9,6,10,8,5,3
